Idontphotoshop,"@rlewington2 When I was at uni, I lived in a barely converted chicken coop which offered shelter to many animals as there was a very large gap under the front door (I once found  a two skunks at the bottom of my bed).  And a choir of crickets used to serenade us from inside our fusebox.",,Sat Aug 04 07:33:02 +0000 2018
Lovemyproxy,"RT @MarkCCrowley: A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, a…","A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their #pets which were not allowed inside.
#Management #CEO",Sat Aug 04 04:07:58 +0000 2018
MarkCCrowley,"A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their #pets which were not allowed inside.
#Management #CEO",,Sat Aug 04 03:30:09 +0000 2018
Disch_InTheVOX,@thesportscrib21 @Plouffe24Fan I would've offered you shelter here in scoreboard control if you were.,,Sat Aug 04 01:56:28 +0000 2018
miriel_tar,RT @peta_nankivell: 1/4 @kristianne1417 is still unable to go back to her women's shelter due to the male bodied transperson living in her…,"1/4 @kristianne1417 is still unable to go back to her women's shelter due to the male bodied transperson living in her bedroom/bathroom.  After long discussions the shelter (Palmerston House, a division of @jeantweedcentre) has offered Kristi two options.",Sat Aug 04 00:15:54 +0000 2018
sikandermajid,"RT @MarkCCrowley: A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, a…","A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their pets which were not allowed inside.
#LeadFromTheHeart #HR",Fri Aug 03 22:08:44 +0000 2018
menhealuk,RT @oneworldonepeo1: @menhealuk @DebiJules @AaronStone77 @RhiaCrewe @nrmentalhealth @1in6org @MaleSurvivorORG @RAINN @USArmySHARP @SCFounde…,@menhealuk @DebiJules @AaronStone77 @RhiaCrewe @nrmentalhealth @1in6org @MaleSurvivorORG @RAINN @USArmySHARP @SCFounderDavid @gottogetoutof @DrJohnAKing @DrAdrienneMeier @ch_ifm @ChrisToedt1 @CounsellingKH @MentalHealthFN @OwenJones84 @UKLabour @WomenEqualities Saw that happening here in shelters. California.  Men had to be addicted to be offered shelter for 10 weeks.  Nothing about abuse or DV.,Fri Aug 03 22:04:26 +0000 2018
oneworldonepeo1,@menhealuk @DebiJules @AaronStone77 @RhiaCrewe @nrmentalhealth @1in6org @MaleSurvivorORG @RAINN @USArmySHARP @SCFounderDavid @gottogetoutof @DrJohnAKing @DrAdrienneMeier @ch_ifm @ChrisToedt1 @CounsellingKH @MentalHealthFN @OwenJones84 @UKLabour @WomenEqualities Saw that happening here in shelters. California.  Men had to be addicted to be offered shelter for 10 weeks.  Nothing about abuse or DV.,,Fri Aug 03 22:02:26 +0000 2018
Keisha11620,@TheRoot Girl A 60 yr old woman is taking shelter from rain. You should have offered her an umbrella. Go sit down,,Fri Aug 03 21:17:14 +0000 2018
_Am_bi_tious,RT @indiantweeter: Thanks to TISS which conducted a free and fair social audit of shelter homes initiated by @NitishKumar on Suo moto basis…,Thanks to TISS which conducted a free and fair social audit of shelter homes initiated by @NitishKumar on Suo moto basis. TISS team dint even take tea and biscuits offered by shelter home administration to instill confidence in girls to come out and speak.,Fri Aug 03 20:15:47 +0000 2018
